"","term","estimate","std.error","statistic","p.value"
"73","VW_ret_Ranks_beme_10","R2-multiple","0.707816087454241","R2-adjusted","0.698798065462088"
"74","(Intercept)","0.00394059854596113","0.00466956906915304","0.843889122872716","0.399975767715816"
"75","VW_ret_HML_All","1.31964606300365","0.0925888015661669","14.2527610324515","2.1535016854426e-30"
"76","VW_ret_Ranks_momentum_spread","-0.108414003115319","0.0291209800713048","-3.72288305029085","0.000271411235451009"
"77","VW_ret_Inv_spread","-0.625954956015299","0.193541122768043","-3.23422199407978","0.00147844873072739"
"78","VW_ret_OP_Prof_spread","-0.500900409247115","0.134600539018212","-3.72138486889224","0.000272898346206211"
"79","VW_sentClasRel_Ranks_beme_spread","0.0949529119092326","0.0490873078670515","1.93436788520576","0.0548104694741954"
"80","","","","",""
"81","VW_ret_Ranks_beme_1 - VW_ret_HML_All","R2-multiple","0.019170522989874","R2-adjusted","0.0132619116825839"
"82","(Intercept)","-0.002621648070828","0.00176811257817012","-1.48273820524553","0.140039974868516"
"83","VW_diffPosNegRel_Ranks_beme_spread","-0.0576056246245266","0.0319808954936734","-1.80125114495066","0.0734782769880781"
"84","","","","",""
"85","VW_ret_Ranks_beme_1 - VW_ret_HML_All","R2-multiple","0.0152455779805234","R2-adjusted","0.0093133224261891"
"86","(Intercept)","-0.00209448661356642","0.00164982743863547","-1.26951859601675","0.206033057766849"
"87","VW_sentClasRel_Ranks_beme_spread","-0.0293055165059585","0.0182804700701014","-1.60310519333357","0.110812478529466"
"88","","","","",""
"89","VW_ret_Ranks_beme_1 - VW_ret_HML_All","R2-multiple","0.019170522989874","R2-adjusted","0.0132619116825839"
"90","(Intercept)","-0.002621648070828","0.00176811257817012","-1.48273820524553","0.140039974868516"
"91","VW_diffPosNegRel_Ranks_beme_spread","-0.0576056246245266","0.0319808954936734","-1.80125114495066","0.0734782769880781"
"92","","","","",""
"93","VW_ret_Ranks_beme_1 - VW_ret_HML_All","R2-multiple","0.0283877409177457","R2-adjusted","0.0225346550196597"
"94","(Intercept)","-0.00258367655655426","0.00158158489134841","-1.63359966998136","0.104238137956541"
"95","VW_sentClas_Ranks_beme_spread","-0.0274444770325259","0.0124618348617518","-2.20228219495664","0.0290237831868836"
"96","","","","",""
"97","VW_ret_Ranks_beme_1","R2-multiple","0.862406292596695","R2-adjusted","0.861577414841253"
"98","(Intercept)","-2.1251743851477e-05","0.0012575134335553","-0.0168998145740623","0.986536835563808"
"99","VW_ret_HML_All","0.983102337649863","0.0304781086383132","32.2560152703843","2.12151476418248e-73"
"100","","","","",""
"101","VW_ret_Ranks_beme_1","R2-multiple","0.86447276879168","R2-adjusted","0.862830014474004"
"102","(Intercept)","-0.00186900510374483","0.00170999823943139","-1.09298656609513","0.275992892618758"
"103","VW_ret_HML_All","0.98430464074958","0.030349362892907","32.4324647019073","1.71280749801841e-73"
"104","VW_sentClasRel_Ranks_beme_spread","-0.0290688017045561","0.0183266563705046","-1.58614867419789","0.114620178748667"
"105","","","","",""
"106","VW_ret_Ranks_beme_1","R2-multiple","0.892290062793607","R2-adjusted","0.889646874150505"
"107","(Intercept)","-0.000173791317874856","0.00117091814055161","-0.148423115037729","0.882192315370628"
"108","VW_ret_HML_All","0.972757326524335","0.031157054163993","31.2210943115576","1.13130653712127e-70"
"109","VW_ret_Ranks_momentum_spread","0.0256825871565503","0.00977102597061118","2.62844323961446","0.00939760119209299"
"110","VW_ret_Inv_spread","0.372681283736241","0.0650382351187389","5.73018752824158","4.73110429761183e-08"
"111","VW_ret_OP_Prof_spread","-0.0601594369563754","0.0452897404070793","-1.32832373106232","0.185928006245309"
"112","","","","",""
"113","VW_ret_Ranks_beme_1","R2-multiple","0.893221897928061","R2-adjusted","0.889926277493742"
"114","(Intercept)","-0.00141839162910857","0.00156948031795549","-0.903733301323757","0.367478740855719"
"115","VW_ret_HML_All","0.973203933027472","0.0311198527249844","31.2727679538837","1.55314847621899e-70"
"116","VW_ret_Ranks_momentum_spread","0.0247850643276479","0.00978779934178739","2.53224074811507","0.0122849381671662"
"117","VW_ret_Inv_spread","0.368504776220253","0.0650507527356363","5.66488104630922","6.56366311136823e-08"
"118","VW_ret_OP_Prof_spread","-0.059149686050951","0.0452403409494059","-1.30745447115663","0.192910950900698"
"119","VW_sentClasRel_Ranks_beme_spread","-0.019617074163037","0.0164986452535185","-1.18901121041156","0.236175175730808"
"120","","","","",""
