"","term","estimate","std.error","statistic","p.value"
"72","","","","",""
"73","VW_ret_Ranks_momentum_10","R2-multiple","0.694520257082247","R2-adjusted","0.685091869955156"
"74","(Intercept)","-0.00291764337574185","0.00406833473270782","-0.717159124662269","0.474308668207822"
"75","VW_ret_HML_All","1.00141580403266","0.0743782545150301","13.463825019318","3.28527459149799e-28"
"76","VW_ret_OP_Prof_spread","-0.795258236348158","0.107650571961713","-7.38740372536986","7.49779516349636e-12"
"77","VW_ret_HML_spread","-0.34814229615332","0.0973384295692621","-3.57661714590942","0.000459181447132809"
"78","VW_ret_Inv_spread","-0.241553543946905","0.154267109728605","-1.56581363565999","0.119343545661305"
"79","VW_diffPosNeg_Ranks_momentum_spread","0.0460573179857995","0.0426379989555442","1.08019417219416","0.281661243665278"
"80","","","","",""
"81","VW_ret_Ranks_momentum_1 - VW_ret_HML_All","R2-multiple","0.00785454930688829","R2-adjusted","0.00187776948343576"
"82","(Intercept)","0.033014003924457","0.0114741260770451","2.87725650762233","0.00453884745186785"
"83","VW_sentClas_Ranks_momentum_spread","-0.0870880130828679","0.0759681194313544","-1.14637579203947","0.253289471178823"
"84","","","","",""
"85","VW_ret_Ranks_momentum_1 - VW_ret_HML_All","R2-multiple","0.00569568651138498","R2-adjusted","-0.000294098509630913"
"86","(Intercept)","0.0319652749480692","0.0118108482544126","2.70643346350053","0.00751187656956534"
"87","VW_diffPosNeg_Ranks_momentum_spread","-0.123515642140644","0.126664390985894","-0.975141009870717","0.33090919662862"
"88","","","","",""
"89","VW_ret_Ranks_momentum_1 - VW_ret_HML_All","R2-multiple","0.00259682866258184","R2-adjusted","-0.0034116241768003"
"90","(Intercept)","0.0286959781381689","0.0113659238206231","2.52473785598502","0.0125164088769838"
"91","VW_sentClasRel_Ranks_momentum_spread","-0.0681409674994738","0.103649682462746","-0.657416075770084","0.511823936204876"
"92","","","","",""
"93","VW_ret_Ranks_momentum_1 - VW_ret_HML_All","R2-multiple","0.00152230376132048","R2-adjusted","-0.00449262211963553"
"94","(Intercept)","0.0274249022395014","0.0114175236893585","2.4020009054207","0.0174096669798973"
"95","VW_diffPosNegRel_Ranks_momentum_spread","-0.0851029726535245","0.169164492476944","-0.503078225267181","0.615576118333677"
"96","","","","",""
"97","VW_ret_Ranks_momentum_1","R2-multiple","0.440848077614613","R2-adjusted","0.437479692540002"
